code_insee,revenu_median,taux_chomage,age_median
01238,31870.0,6.6,42.7
01239,28310.0,5.6,48.5
01240,28320.0,6.5,47.3
01241,28790.0,9.2,46.0
01243,30800.0,8.7,44.7
01244,27630.0,9.8,38.8
01245,27650.0,4.6,44.9
01246,26800.0,8.8,42.7
01247,35700.0,3.0,43.9
01248,33070.0,6.8,43.1
01249,29650.0,9.2,38.7
01250,31370.0,5.4,39.0
01252,28950.0,7.7,41.2
01254,30990.0,4.7,45.0
01255,25380.0,8.9,38.0
01257,32840.0,6.3,40.9
01258,30570.0,3.2,44.1
01259,28540.0,2.8,39.4
01260,30760.0,3.9,36.4
01261,31060.0,4.6,44.6
01262,26400.0,10.0,41.0
01263,29700.0,6.2,45.0
01264,28800.0,4.9,43.6
01265,23140.0,10.5,42.1
01266,25010.0,9.1,48.7
01267,28010.0,8.6,46.4
01268,28860.0,10.6,44.8
01269,20470.0,15.2,42.2
01272,26870.0,6.0,46.1
01273,26500.0,6.9,40.3
01274,23330.0,16.3,39.6
01275,34890.0,4.5,44.2
01276,31350.0,5.9,40.2
01277,25780.0,10.8,49.4
01279,,,54.5
01280,27220.0,4.5,46.7
01281,39600.0,10.0,37.6
01282,28100.0,5.3,43.6
01283,20260.0,14.7,40.5
01284,25930.0,7.8,39.9
01285,33080.0,4.9,40.7
01286,30250.0,5.6,49.6
01288,44680.0,7.1,37.0
01289,27120.0,9.1,47.3
01290,29570.0,7.8,45.9
01291,27480.0,3.2,45.1
01294,27100.0,5.9,42.8
01295,28890.0,5.8,38.7
01296,27110.0,6.8,42.2
01297,31370.0,6.3,39.9
01298,34730.0,10.1,44.8
01299,29060.0,5.7,39.4
01301,27640.0,5.8,45.0
01302,31300.0,9.2,55.1
01303,25370.0,9.3,42.5
01304,24920.0,10.2,41.6
01305,23400.0,11.3,50.2
01306,24160.0,12.3,46.6
01307,25120.0,9.2,44.3
01308,45760.0,6.8,43.0
01309,,7.3,49.9
01310,16260.0,12.5,47.0
01313,47980.0,10.1,36.0
01314,27950.0,6.5,41.3
01317,27310.0,7.8,38.0
01318,31550.0,5.1,41.0
01319,30000.0,4.3,42.4
01320,28320.0,7.8,42.8
01321,30910.0,3.9,42.1
01322,31950.0,5.1,42.5
01323,26340.0,6.5,47.2
01325,29130.0,6.1,41.0
01328,26610.0,4.0,40.8
01329,20590.0,16.2,48.0
01332,29260.0,4.4,42.2
01333,30220.0,5.5,44.9
01334,27730.0,4.9,39.8
01335,29710.0,6.5,36.1
01336,27680.0,8.3,41.1
01337,26550.0,5.7,43.4
01338,26350.0,5.9,45.2
01339,34840.0,5.5,49.2
01342,30950.0,7.4,41.4
01343,27020.0,6.1,40.5
01344,28490.0,8.2,46.8
01345,26510.0,7.4,43.9
01346,26730.0,5.2,41.9
01347,32200.0,6.5,43.4
01348,26490.0,8.1,43.8
01349,29350.0,6.0,44.6
01350,27310.0,7.7,44.8
01351,26820.0,5.0,38.5
01352,25470.0,7.4,41.0
01353,31470.0,5.3,42.1
01354,34030.0,10.1,33.9
01355,27400.0,6.1,43.1
01356,30060.0,7.6,41.4
01357,26820.0,11.2,38.2
01358,27920.0,4.8,47.2
01359,30480.0,6.6,41.2
01360,46990.0,5.7,38.4
01361,32070.0,4.9,41.9
01362,31430.0,5.5,41.6
01363,27290.0,9.4,43.1
01364,25190.0,8.3,44.8
01365,27830.0,7.1,43.6
01366,28250.0,6.7,37.4
01367,24990.0,9.8,45.3
01368,27620.0,4.7,42.1
01369,29740.0,6.1,50.7
01370,21920.0,12.9,40.4
01371,29240.0,6.8,38.5
01372,27840.0,9.1,43.8
01373,28720.0,8.0,45.4
01374,29090.0,5.1,42.0
01375,28540.0,5.2,43.8
01376,26820.0,8.8,38.3
01378,30710.0,4.9,41.2
01379,26200.0,6.9,37.2
01380,24740.0,8.2,51.3
01381,27370.0,4.0,40.0
01382,28630.0,6.1,39.9
01383,26850.0,6.8,39.4
01384,22650.0,15.2,42.3
01385,29820.0,4.0,49.2
01386,29520.0,7.5,43.8
01387,25810.0,3.8,34.0
01388,25200.0,8.6,50.3
01389,27420.0,6.7,41.6
01390,28690.0,7.2,39.2
01391,27830.0,4.3,53.0
01392,30000.0,4.7,46.9
01393,28510.0,5.9,40.4
01396,24570.0,14.4,41.3
01397,42350.0,11.2,45.1
01398,30220.0,4.4,38.4
01399,43470.0,8.8,34.8
01400,28870.0,6.8,49.6
01401,47140.0,8.5,39.9
01402,25730.0,10.2,46.8
01403,25580.0,10.8,43.2
01404,27790.0,14.5,56.6
01405,26990.0,9.7,39.4
01406,26590.0,4.2,47.0
01407,27640.0,9.9,41.2
01408,25900.0,5.5,45.0
01410,28900.0,9.3,45.9
01411,27130.0,4.2,45.3
01412,27960.0,5.8,38.6
01415,28080.0,7.7,52.7
01416,21890.0,14.5,45.5
01418,33610.0,3.9,39.9
01419,43850.0,8.4,38.8
01420,22650.0,12.6,47.0
01421,25030.0,7.5,41.9
01422,29210.0,5.4,44.8
01423,31560.0,3.9,37.0
01424,34030.0,4.5,42.4
01425,29790.0,5.4,47.0
01426,27940.0,7.3,44.9
01427,27200.0,10.4,38.2
01428,29440.0,1.6,38.3
01429,27680.0,5.1,40.7
01430,26480.0,7.0,41.4
01431,28930.0,4.5,44.0
01432,26990.0,7.9,43.5
01434,29210.0,4.4,36.5
01435,42460.0,10.2,40.6
01436,48170.0,4.1,41.9
01439,,9.4,45.0
01441,26720.0,6.6,40.4
01443,27170.0,6.7,43.3
01444,25860.0,10.0,43.1
01445,27320.0,5.9,43.7
01446,29940.0,4.2,40.1
